ID_SCENARIO,COD_SEGMENTO,COD_MATR_MODEL_ID,COD_MATR_KEY_ID,COD_MACROAGGREGATO,COD_RATING_IN,COD_RATING_OUT,NUM_RIGA,NUM_COLONNA,COD_PD_CUM_FORWARD,NUM_ANNO_RIF,COD_TRIM_RIF,VAL_DISTR_TTC,VAL_DISTR_T0,VAL_DISTR_T1,VAL_DISTR_T2,VAL_DISTR_T3,VAL_DISTR_T4,VAL_DISTR_T5,VAL_DISTR_T6,VAL_DISTR_T7,VAL_DISTR_T8,VAL_DISTR_T9,VAL_DISTR_T10,ID_VERSIONE,DAT_REPORT
,SO,RPGES,ESTERO,NA,D,S14,18,14,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT07,15,7,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT07,15,7,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT08,15,8,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT10,15,10,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT11,15,11,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RE,MORE1,OTHER,FC,D,RT12,15,12,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RE,MORE1,OTHER,FC,D,RT14,15,14,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TRASPORTI,D,I1,16,1,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COMMERCIO,D,I1,16,1,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,IF,D,I1,16,1,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TRASPORTI,D,I2,19,5,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO4,,IF,D,I2,20,7,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,I2,19,5,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,I2,19,5,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,I2,19,5,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COMMERCIO,D,I2,16,2,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,I2,19,5,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TRASPORTI,D,I2,16,2,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,MICR6,,FP,D,I3,14,1,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FC,D,I3,16,3,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TMKT_USA,D,I3,19,6,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM03,,ITA_RA,D,I3,16,3,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,I4,16,4,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,I5,19,8,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TMKT_USA,D,I5,19,8,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,I6,19,9,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,I6,19,9,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FP,D,I6,19,9,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RED,COIM4,,COSTRUZIONI,D,I6,13,3,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TRASPORTI,D,I6,19,9,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TMKT_USA,D,I6,19,9,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RED,COIM4,,COSTRUZIONI,D,M1,13,4,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TRASPORTI,D,M1,19,10,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,FS,PRFI2,,NA,D,M1,8,3,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,MICR6,,FP,D,M1,14,5,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FC,D,M1,16,7,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
