ID_SCENARIO,COD_SEGMENTO,COD_MATR_MODEL_ID,COD_MATR_KEY_ID,COD_MACROAGGREGATO,COD_RATING_IN,COD_RATING_OUT,NUM_RIGA,NUM_COLONNA,COD_PD_CUM_FORWARD,NUM_ANNO_RIF,COD_TRIM_RIF,VAL_DISTR_TTC,VAL_DISTR_T0,VAL_DISTR_T1,VAL_DISTR_T2,VAL_DISTR_T3,VAL_DISTR_T4,VAL_DISTR_T5,VAL_DISTR_T6,VAL_DISTR_T7,VAL_DISTR_T8,VAL_DISTR_T9,VAL_DISTR_T10,ID_VERSIONE,DAT_REPORT
,CO,COLC2,,FC,D,R2,19,15,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FC,D,R2,16,12,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TRASPORTI,D,R2,19,15,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SR001,,FP,D,R2,16,12,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,R2,19,15,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,R2,19,15,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SMER6,,FP,D,R2,14,10,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COSTRUZIONI,D,R3,19,16,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SR001,,FP,D,R3,16,13,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,R4,19,17,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,R4,19,17,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TRASPORTI,D,R4,19,17,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FP,D,R4,16,14,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TRASPORTI,D,R5,16,15,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TMKT_USA,D,R5,16,15,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,R5,16,15,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,R5,19,18,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,NF,D,I1A,19,1,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,I1C,19,3,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO4,,IF,D,I1C,20,3,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO4,,IF,D,I1C,20,3,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ITALIA,ITA_RA,D,S13,18,13,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ESTERO,NA,D,S16,18,16,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT02,15,2,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT04,15,4,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT05,15,5,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT06,15,6,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT06,15,6,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT08,15,8,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT09,15,9,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RE,MORE1,OTHER,FC,D,RT09,15,9,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RE,MORE1,OTHER,FC,D,RT11,15,11,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RE,MORE1,OTHER,FC,D,RT12,15,12,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TRASPORTI,D,I1,16,1,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,I2,19,5,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SR001,,FP,D,I2,16,2,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,I2,19,5,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,NF,D,I2,19,5,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,I2,19,5,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FP,D,I2,19,5,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TRASPORTI,D,I3,16,3,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,I3,19,6,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,RESIDUO,D,I3,16,3,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SR001,,FP,D,I3,16,3,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,MANIFATTURA,D,I4,16,4,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,I4,19,7,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM03,,ITA_RA,D,I4,16,4,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TMKT_USA,D,I4,19,7,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,I4,19,7,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FP,D,I4,19,7,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,NF,D,I4,19,7,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO4,,IF,D,I5,20,10,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,I5,16,5,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,RESIDUO,D,I5,16,5,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COMMERCIO,D,I6,16,6,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TMKT_USA,D,I6,16,6,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,I6,19,9,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,MICR6,,FP,D,I6,14,4,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,FS,PRFI2,,NA,D,M1,8,3,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,FS,PRFI2,,NA,D,M1,8,3,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,NF,D,M1,16,7,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COSTRUZIONI,D,M2,19,11,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RED,COIM4,,COSTRUZIONI,D,M2,13,5,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SMER6,,FP,D,M2,14,6,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TMKT_USA,D,M2,19,11,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,M3,19,12,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TRASPORTI,D,M3,16,9,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TRASPORTI,D,M3,19,12,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,M4,19,13,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TMKT_USA,D,M4,16,10,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,MANIFATTURA,D,M4,16,10,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FP,D,M4,16,10,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,R1,16,11,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,R2,19,15,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RED,COIM4,,COSTRUZIONI,D,R2,13,9,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COSTRUZIONI,D,R3,19,16,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,MANIFATTURA,D,R4,19,17,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TMKT_USA,D,R4,19,17,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,R4,19,17,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,IF,D,R4,16,14,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,NF,D,R4,16,14,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,NF,D,R5,16,15,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TMKT_USA,D,R5,16,15,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,R5,19,18,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,R5,16,15,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO5,,IF,D,R5,21,20,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,R5,19,18,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FP,D,R5,19,18,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ITALIA,ITA_RA,D,S2,18,2,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ITALIA,ITA_RA,D,S4,18,4,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ITALIA,ITA_RA,D,S5,18,5,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ESTERO,NA,D,S6,18,6,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ITALIA,ITA_RA,D,S7,18,7,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO5,,IF,D,I1A,21,1,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,I1A,19,1,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COSTRUZIONI,D,I1B,19,2,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO4,,IF,D,I1B,20,2,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,MANIFATTURA,D,I1B,19,2,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,MANIFATTURA,D,I1C,19,3,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,I1C,19,3,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,TMKT_USA,D,I1D,19,4,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ESTERO,NA,D,S13,18,13,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SO,RPGES,ITALIA,ITA_RA,D,S16,18,16,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT01,15,1,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT03,15,3,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPOST08,FC,D,RT06,15,6,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,RE,MORE1,OTHER,FC,D,RT06,15,6,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,MT,MORE1,MTPRE08,FC,D,RT07,15,7,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,FS,PRFI2,,NA,D,I4_I5,8,1,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM01,,ITA_RA,D,R,10,9,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SR001,,FP,D,I1,16,1,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COMMERCIO,D,I2,16,2,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,I2,19,5,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,I2,19,5,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM03,,ITA_RA,D,I2,16,2,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM01,,ITA_RA,D,I3,10,2,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,NF,D,I3,19,6,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO4,,IF,D,I3,20,8,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COMMERCIO,D,I3,16,3,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FP,D,I4,16,4,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FP,D,I4,16,4,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FP,D,I4,19,7,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SMER6,,FP,D,I5,14,3,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,I5,19,8,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,NF,D,I5,16,5,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,I5,16,5,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FP,D,I6,19,9,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM03,,ITA_RA,D,I6,16,6,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,FC,D,I6,19,9,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,MANIFATTURA,D,M1,19,10,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM03,,ITA_RA,D,M1,16,7,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM03,,ITA_RA,D,M1,16,7,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,IF,D,M1,19,10,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,MANIFATTURA,D,M1,16,7,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FC,D,M2,16,8,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,M2,16,8,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,COSTRUZIONI,D,M2,16,8,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COSTRUZIONI,D,M3,19,12,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,SR,SR001,,FP,D,M3,16,9,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,MANIFATTURA,D,M3,19,12,Y5_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,FP,D,M3,16,9,Y0_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,NF,D,M3,16,9,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,RESIDUO,D,M3,19,12,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,ESP,COM03,,ITA_RA,D,M4,16,10,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,COMMERCIO,D,M4,19,13,Y1_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,NF,D,M4,19,13,Y2_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO5,,IF,D,M4,21,15,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,BA,BANO4,,IF,D,R1,20,15,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,NF,D,R1,16,11,Y3_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,COLC2,,MANIFATTURA,D,R1,19,14,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,TMKT_USA,D,R2,16,12,Y4_T4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
,CO,CODO6,,RESIDUO,D,R2,16,12,Y_1_T4,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,19,2021-09-30
